[0mroot [8] g4->ApplyCommand("/control/execute materialScan.mac"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"/control/execute materialScan.mac"[0m[38;5;83m[1m)
[0m/control/execute materialScan.mac
# Include default setup
#/control/execute jleic.mac
#Theta range: bins, start, span
/control/matScan/theta 1 0 0
#Phi range: bins, start, span
#/control/matScan/phi 1000 163 34
/control/matScan/phi 3600 0 360
#Start scan
/control/matScan/scan

         Theta(deg)    Phi(deg)  Length(mm)          x0     lambda0

                  0     25.6071        5000   0.0331968   0.0154978
                  0     25.7071        5000   0.0300492   0.0139853
                  0     25.8072        5000   0.0298701   0.0139001
                  0     25.9072        5000   0.0326388   0.0152325
                  0     26.0072        5000   0.0296327   0.0138032
                  0     26.1073        5000   0.0335088   0.0155505
                  0     26.2073        5000   0.0329857   0.0152505
                  0     26.3073        5000   0.0323125   0.0149026
                  0     26.4073        5000   0.0297641   0.0138504
                  0     26.5074        5000   0.0295975   0.0137597
                  0     26.6074        5000   0.0295974   0.0137595
                  0     26.7074        5000   0.0304515   0.0141657
                  0     26.8074        5000    0.029126   0.0136033
                  0     26.9075        5000   0.0297371   0.0138599
                  0     27.0075        5000   0.0301387   0.0139649
                  0     27.1075        5000   0.0304823    0.014128
                  0     27.2076        5000   0.0307133   0.0142378
                  0     27.3076        5000   0.0311087   0.0144413
                  0     27.4076        5000   0.0341818   0.0159181
                  0     27.5076        5000   0.0311805   0.0144752
                  0     27.6077        5000   0.0311122   0.0144424
                  0     27.7077        5000   0.0309689    0.014374
                  0     27.8077        5000   0.0309318   0.0143672
                  0     27.9078        5000   0.0345035   0.0159112
                  0     28.0078        5000   0.0345762   0.0159475
                  0     28.1078        5000   0.0328164   0.0150982
                  0     28.2078        5000   0.0282134   0.0130829
                  0     28.3079        5000    0.027002    0.012483
                  0     28.4079        5000   0.0270057   0.0124847
                  0     28.5079        5000   0.0300186   0.0139328
                  0     28.6079        5000   0.0287094    0.013314
                  0      28.708        5000   0.0288797   0.0134042
                  0      28.808        5000    0.028605   0.0132575
                  0      28.908        5000   0.0278973   0.0129583
                  0     29.0081        5000   0.0281735   0.0131051
                  0     29.1081        5000   0.0289017   0.0134155
                  0     29.2081        5000   0.0349353   0.0163179
                  0     29.3081        5000   0.0315607   0.0147058
                  0     29.4082        5000   0.0297027   0.0138409
                  0     29.5082        5000   0.0298182   0.0139021
                  0     29.6082        5000   0.0296245   0.0137984
                  0     29.7083        5000   0.0305093   0.0140121
                  0     29.8083        5000   0.0305494   0.0140329
                  0     29.9083        5000   0.0286529    0.013101
                  0     30.0083        5000   0.0269156   0.0124345
                  0     30.1084        5000   0.0269185   0.0124357
                  0     30.2084        5000   0.0281642   0.0130213
                  0     30.3084        5000   0.0311768   0.0144692
                  0     30.4084        5000   0.0281718   0.0130245
                  0     30.5085        5000   0.0272348   0.0126031
                  0     30.6085        5000   0.0287178   0.0133065
                  0     30.7085        5000   0.0297998   0.0138199
                  0     30.8086        5000   0.0328102   0.0152668
                  0     30.9086        5000   0.0290518   0.0134637
                  0     31.0086        5000   0.0326436    0.015209
                  0     31.1086        5000   0.0298317   0.0138303
                  0     31.2087        5000   0.0297729    0.013802
                  0     31.3087        5000   0.0303014   0.0141306
                  0     31.4087        5000   0.0296382   0.0137933
                  0     31.5088        5000    0.031107   0.0142807
                  0     31.6088        5000    0.028679   0.0131105
                  0     31.7088        5000   0.0286828    0.013112
                  0     31.8088        5000   0.0269457   0.0124456
                  0     31.9089        5000    0.027539   0.0126835
                  0     32.0089        5000   0.0275425   0.0126849
                  0     32.1089        5000   0.0305545   0.0141325
                  0     32.2089        5000   0.0268129   0.0123736
                  0      32.309        5000   0.0281067   0.0129853
                  0      32.409        5000   0.0322201     0.01495
                  0      32.509        5000   0.0334288   0.0155509
                  0     32.6091        5000   0.0309319   0.0143477
                  0     32.7091        5000   0.0298492   0.0138585
                  0     32.8091        5000   0.0328556   0.0152751
                  0     32.9091        5000   0.0303785   0.0140799
                  0     33.0092        5000   0.0307248   0.0142442
                  0     33.1092        5000   0.0339525   0.0157945
                  0     33.2092        5000   0.0301609   0.0140014
                  0     33.3093        5000   0.0317544   0.0145893
                  0     33.4093        5000   0.0317467   0.0145853
                  0     33.5093        5000   0.0325105   0.0149187
                  0     33.6093        5000   0.0315851   0.0146169
                  0     33.7094        5000   0.0313286   0.0144945
                  0     33.8094        5000   0.0297534   0.0137559
                  0     33.9094        5000   0.0321447   0.0149115
                  0     34.0094        5000   0.0276742   0.0127512
                  0     34.1095        5000   0.0310209   0.0143794
                  0     34.2095        5000   0.0276168   0.0127195
                  0     34.3095        5000   0.0293231   0.0136281
                  0     34.4096        5000   0.0272231   0.0125878
                  0     34.5096        5000   0.0270286   0.0124837
                  0     34.6096        5000   0.0300393   0.0139307
                  0     34.7096        5000   0.0297807   0.0138072
                  0     34.8097        5000   0.0271913   0.0125603
                  0     34.9097        5000   0.0269784    0.012455
                  0     35.0097        5000   0.0272427   0.0125953
                  0     35.1098        5000   0.0314987   0.0144466
                  0     35.2098        5000   0.0329019   0.0151251
                  0     35.3098        5000   0.0340232   0.0156964
                  0     35.4098        5000   0.0312971   0.0145839
                  0     35.5099        5000   0.0295553   0.0137377
                  0     35.6099        5000   0.0298303   0.0138676
                  0     35.7099        5000   0.0358995   0.0167842
                  0     35.8099        5000   0.0313319    0.014644
                  0       35.91        5000   0.0311568   0.0145421
                  0       36.01        5000   0.0302966   0.0140768
                  0       36.11        5000   0.0301916   0.0140152
                  0     36.2101        5000   0.0302628   0.0140488
                  0     36.3101        5000   0.0318062   0.0148177
                  0     36.4101        5000   0.0374324   0.0173259
                  0     36.5101        5000   0.0320769   0.0147582
                  0     36.6102        5000   0.0320701   0.0147545
                  0     36.7102        5000    0.032044   0.0147418
                  0     36.8102        5000   0.0335022   0.0154432
                  0     36.9103        5000   0.0373845   0.0171346
                  0     37.0103        5000   0.0378771   0.0173687
                  0     37.1103        5000   0.0365047    0.016737
                  0     37.2103        5000   0.0332885    0.015394
                  0     37.3104        5000   0.0346412    0.016005
                  0     37.4104        5000   0.0352257   0.0162812
                  0     37.5104        5000    0.035466   0.0163963
                  0     37.6104        5000   0.0320325   0.0147466
                  0     37.7105        5000    0.032198   0.0148791
                  0     37.8105        5000   0.0307673   0.0141349
                  0     37.9105        5000   0.0305384   0.0140123
                  0     38.0106        5000   0.0335521   0.0154607
                  0     38.1106        5000   0.0311348   0.0142516
                  0     38.2106        5000   0.0329518   0.0151415
                  0     38.3106        5000   0.0299486   0.0136975
                  0     38.4107        5000   0.0311964    0.014284
                  0     38.5107        5000   0.0312021   0.0142864
                  0     38.6107        5000   0.0312727   0.0143233
                  0     38.7108        5000   0.0316211   0.0143293
                  0     38.8108        5000   0.0316278   0.0143321
                  0     38.9108        5000   0.0306354   0.0138817
                  0     39.0108        5000   0.0319043   0.0146602
                  0     39.1109        5000   0.0289063   0.0132187
                  0     39.2109        5000   0.0288157   0.0134093
                  0     39.3109        5000   0.0300646    0.013947
                  0     39.4109        5000    0.027063   0.0125039
                  0      39.511        5000   0.0275924   0.0127855
                  0      39.611        5000   0.0314212   0.0146035
                  0      39.711        5000   0.0313628   0.0145782
                  0     39.8111        5000   0.0296844   0.0137461
                  0     39.9111        5000   0.0290281   0.0134452
                  0     40.0111        5000   0.0299613   0.0138887
                  0     40.1111        5000   0.0275461   0.0126804
                  0     40.2112        5000   0.0275497   0.0126818
                  0     40.3112        5000   0.0282398   0.0131212
                  0     40.4112        5000   0.0269346   0.0124315
                  0     40.5113        5000   0.0281632   0.0128283
                  0     40.6113        5000   0.0308749   0.0141328
                  0     40.7113        5000   0.0291772   0.0133465
                  0     40.8113        5000   0.0264355   0.0121657
                  0     40.9114        5000   0.0266376   0.0122729
                  0     41.0114        5000   0.0264431   0.0121688
                  0     41.1114        5000   0.0294516   0.0136148
                  0     41.2114        5000   0.0264508   0.0121719
                  0     41.3115        5000   0.0298129   0.0138183
                  0     41.4115        5000   0.0290218   0.0134167
                  0     41.5115        5000   0.0295924   0.0136881
                  0     41.6116        5000     0.02971   0.0137661
                  0     41.7116        5000   0.0293486    0.013604
                  0     41.8116        5000    0.031989   0.0148699
                  0     41.9116        5000   0.0299838   0.0138902
                  0     42.0117        5000   0.0299004   0.0138932
                  0     42.1117        5000   0.0302392    0.014054
                  0     42.2117        5000   0.0321014   0.0149987
                  0     42.3118        5000   0.0363113    0.016795
                  0     42.4118        5000    0.033769   0.0155746
                  0     42.5118        5000    0.034581   0.0160068
                  0     42.6118        5000   0.0336181   0.0156711
                  0     42.7119        5000   0.0346136   0.0159665
                  0     42.8119        5000   0.0343799    0.015855
                  0     42.9119        5000   0.0400178   0.0185671
                  0     43.0119        5000   0.0334868   0.0154319
                  0      43.112        5000   0.0324722   0.0149667
                  0      43.212        5000   0.0304108   0.0139471
                  0      43.312        5000   0.0316589   0.0145339
                  0     43.4121        5000     0.03047   0.0139789
                  0     43.5121        5000   0.0304757   0.0139814
                  0     43.6121        5000   0.0325006   0.0149814
                  0     43.7121        5000   0.0294967   0.0135372
                  0     43.8122        5000    0.029502   0.0135395
                  0     43.9122        5000   0.0325136    0.014987
                  0     44.0122        5000   0.0317404   0.0146343
                  0     44.1123        5000   0.0371601   0.0171215
                  0     44.2123        5000   0.0371151   0.0170313
                  0     44.3123        5000   0.0366043   0.0167879
                  0     44.4123        5000   0.0324181   0.0149899
                  0     44.5124        5000   0.0330949    0.015333
                  0     44.6124        5000   0.0330806   0.0153491
                  0     44.7124        5000   0.0338084    0.015675
                  0     44.8124        5000   0.0319124   0.0148206
                  0     44.9125        5000   0.0303723   0.0139995
                  0     45.0125        5000   0.0305402   0.0140107
                  0     45.1125        5000   0.0305446   0.0140125
                  0     45.2126        5000    0.030549   0.0140143
                  0     45.3126        5000    0.029366   0.0134618
                  0     45.4126        5000   0.0324148   0.0149289
                  0     45.5126        5000   0.0320227   0.0147468
                  0     45.6127        5000    0.031207   0.0143657
                  0     45.7127        5000   0.0293829   0.0134686
                  0     45.8127        5000    0.029383   0.0134681
                  0     45.9128        5000   0.0333629   0.0152059
                  0     46.0128        5000   0.0362849   0.0166105
                  0     46.1128        5000   0.0366046   0.0167622
                  0     46.2128        5000   0.0360747   0.0167101
                  0     46.3129        5000   0.0312046   0.0143384
                  0     46.4129        5000   0.0292001   0.0133692
                  0     46.5129        5000   0.0322057   0.0148137
                  0     46.6129        5000   0.0304525   0.0139576
                  0      46.713        5000    0.031136   0.0143211
                  0      46.813        5000   0.0303967   0.0139266
                  0      46.913        5000   0.0294117   0.0134795
                  0     47.0131        5000    0.029671   0.0136171
                  0     47.1131        5000   0.0306519   0.0140619
                  0     47.2131        5000    0.036744    0.017004
                  0     47.3131        5000   0.0315373   0.0144551
                  0     47.4132        5000   0.0319806    0.014814
                  0     47.5132        5000   0.0301216   0.0139836
                  0     47.6132        5000   0.0301997   0.0140286
                  0     47.7133        5000   0.0324212   0.0149403
                  0     47.8133        5000    0.036406   0.0168419
                  0     47.9133        5000   0.0326071   0.0150178
                  0     48.0133        5000   0.0312081   0.0145122
                  0     48.1134        5000    0.031435   0.0146201
                  0     48.2134        5000     0.03162   0.0147123
                  0     48.3134        5000   0.0346817   0.0161838
                  0     48.4134        5000    0.031672   0.0147369
                  0     48.5135        5000   0.0313093   0.0146266
                  0     48.6135        5000   0.0322574   0.0150487
                  0     48.7135        5000   0.0329995   0.0154009
                  0     48.8136        5000   0.0356115   0.0166587
                  0     48.9136        5000   0.0307244   0.0143002
                  0     49.0136        5000   0.0327953   0.0153125
                  0     49.1136        5000   0.0292102   0.0135079
                  0     49.2137        5000   0.0293173   0.0135588
                  0     49.3137        5000   0.0301517   0.0140354
                  0     49.4137        5000   0.0286567   0.0132593
                  0     49.5138        5000   0.0304067   0.0139213
                  0     49.6138        5000   0.0281462   0.0128308
                  0     49.7138        5000   0.0281503   0.0128325
                  0     49.8138        5000   0.0279254   0.0129718
                  0     49.9139        5000   0.0275942   0.0127173
                  0     50.0139        5000   0.0275981    0.012719
                  0     50.1139        5000   0.0305999   0.0141618
